id	client_id	path	sentence	age	gender	speaker_number	family_id
1255	ara_dev_sp_1	common_voice_ar_19204914.wav	ليس كل ما على شبكة الإنترنت يمكن إيجاده باستخدام جوجل.	twenties	male	1	0
1253	ara_dev_sp_1	common_voice_ar_19204913.wav	هل كتبت هذا الكتاب ؟	twenties	male	1	0
1262	ara_dev_sp_1	common_voice_ar_19204978.wav	الإنجليز أكثرهم محافظين.	twenties	male	1	0
1266	ara_dev_sp_1	common_voice_ar_19204981.wav	أعتقد أنك محقة يا جين.	twenties	male	1	0
1265	ara_dev_sp_1	common_voice_ar_19204982.wav	أفضل ألا أخرج اليوم.	twenties	male	1	0
1260	ara_dev_sp_1	common_voice_ar_19204947.wav	.رأيت رجلاً يتّجه نحوي	twenties	male	1	0
1446	ara_dev_sp_10	common_voice_ar_19994877.wav	ماذا حصل لكلبك ؟	twenties	male	10	0
1440	ara_dev_sp_10	common_voice_ar_19994851.wav	لنكولن رجل عظيم.	twenties	male	10	0
1450	ara_dev_sp_10	common_voice_ar_19994904.wav	هل عندك اعتراض على هذه الخطة.	twenties	male	10	0
1437	ara_dev_sp_10	common_voice_ar_19994796.wav	هل الشاطئ قريب من هذه المنطقة ؟	twenties	male	10	0
1441	ara_dev_sp_10	common_voice_ar_19994868.wav	.إنه دائم الضحك	twenties	male	10	0
1443	ara_dev_sp_10	common_voice_ar_19994866.wav	بيل أكبر مني بسنتين.	twenties	male	10	0
1454	ara_dev_sp_10	common_voice_ar_19994976.wav	متى وصلت إلى هناك ؟	twenties	male	10	0
1462	ara_dev_sp_11	common_voice_ar_19493956.wav	الحائط مطلي بالأخضر.	not_defined	not_defined	11	0
1481	ara_dev_sp_11	common_voice_ar_19493976.wav	.لم يصدّق أحد قصّته	not_defined	not_defined	11	0
1478	ara_dev_sp_11	common_voice_ar_19493969.wav	! أنت ملاك	not_defined	not_defined	11	0
1463	ara_dev_sp_11	common_voice_ar_19493958.wav	أعمل لدى شركة نفط.	not_defined	not_defined	11	0
1483	ara_dev_sp_11	common_voice_ar_19493978.wav	.لعلّ الجوّ جميل	not_defined	not_defined	11	0
1503	ara_dev_sp_12	common_voice_ar_20439359.wav	يتوجب عليك أن تشكره.	not_defined	not_defined	12	0
1498	ara_dev_sp_12	common_voice_ar_20439335.wav	تغيرتَ كثيرًا.	not_defined	not_defined	12	0
1494	ara_dev_sp_12	common_voice_ar_20439310.wav	يجب أن تواجه الحقائق.	not_defined	not_defined	12	0
1495	ara_dev_sp_12	common_voice_ar_20439312.wav	آمل أن أراك قريباً.	not_defined	not_defined	12	0
1504	ara_dev_sp_12	common_voice_ar_20439363.wav	أنا في الشهر الرابع من حملي.	not_defined	not_defined	12	0
1528	ara_dev_sp_13	common_voice_ar_19532668.wav	تبدو شاحباً اليوم.	teens	male	13	1
1526	ara_dev_sp_13	common_voice_ar_19532666.wav	اُنقل الطاولة إلى الخارج إذا سمحت.	teens	male	13	1
1520	ara_dev_sp_13	common_voice_ar_19532652.wav	.غرق في النهر	teens	male	13	1
1505	ara_dev_sp_13	common_voice_ar_19532643.wav	لم يسبق لي أن تسلقت جبل فوجي.	teens	male	13	1
1530	ara_dev_sp_13	common_voice_ar_19532676.wav	.خرجت العائلة كلّها لتتمشّى	teens	male	13	1
1512	ara_dev_sp_13	common_voice_ar_19532644.wav	انتهت المباراة الساعة التاسعة.	teens	male	13	1
1566	ara_dev_sp_14	common_voice_ar_19152246.wav	.ستُنشر روايتها الجديدة الشهر القادم	not_defined	not_defined	14	1
1557	ara_dev_sp_14	common_voice_ar_19152240.wav	.علينا أن نهتمّ بالمحافظة على تراثنا الوطني	not_defined	not_defined	14	1
1553	ara_dev_sp_14	common_voice_ar_19152239.wav	.هاملت مسرحية لشكسبير	not_defined	not_defined	14	1
1568	ara_dev_sp_15	common_voice_ar_19721635.wav	أنا لن أذهب إلى هناك لأموت. أنا ذاهب لأعيش .	thirties	male	15	1
1581	ara_dev_sp_15	common_voice_ar_19721692.wav	لديك الكثير من الكتب.	thirties	male	15	1
1594	ara_dev_sp_15	common_voice_ar_19721910.wav	.أشرت إليه	thirties	male	15	1
1582	ara_dev_sp_15	common_voice_ar_19721691.wav	أراك غداً في المكتبة.	thirties	male	15	1
1590	ara_dev_sp_15	common_voice_ar_19721809.wav	بإمكاني القدوم غداً.	thirties	male	15	1
1580	ara_dev_sp_15	common_voice_ar_19721690.wav	انظر خلفك!	thirties	male	15	1
1573	ara_dev_sp_15	common_voice_ar_19721653.wav	ألست طوم ؟	thirties	male	15	1
1598	ara_dev_sp_16	common_voice_ar_19220768.wav	وقال أيضا عضو مجلس الشيوخ ، تشونسي ديب ،	not_defined	not_defined	16	1
1610	ara_dev_sp_16	common_voice_ar_19220794.wav	وقع حادث.	not_defined	not_defined	16	1
1601	ara_dev_sp_16	common_voice_ar_19220770.wav	.طلى دراجته بالأحمر	not_defined	not_defined	16	1
1595	ara_dev_sp_16	common_voice_ar_19220769.wav	تحيا اللغة الفارسية!	not_defined	not_defined	16	1
1613	ara_dev_sp_16	common_voice_ar_19220790.wav	إنه رجل أناني جدا.	not_defined	not_defined	16	1
1612	ara_dev_sp_16	common_voice_ar_19220795.wav	هل تعيش هنا ؟	not_defined	not_defined	16	1
1651	ara_dev_sp_17	common_voice_ar_19065149.wav	أيمكنك اللعب معي ؟	not_defined	not_defined	17	2
1647	ara_dev_sp_17	common_voice_ar_19065134.wav	كل قطة لها شخصيتها المستقلة.	not_defined	not_defined	17	2
1643	ara_dev_sp_17	common_voice_ar_19065120.wav	هل أنت سعيد ؟	not_defined	not_defined	17	2
1641	ara_dev_sp_17	common_voice_ar_19065117.wav	.وجدنا الباب الرئيسي مقفل	not_defined	not_defined	17	2
1648	ara_dev_sp_17	common_voice_ar_19065135.wav	سيُعقد اجتماعٌ غداً.	not_defined	not_defined	17	2
